Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"CAMBRIDGE, MA",Massachusetts Institute of Technology,Four,Private Nonprofit,City,Medium,97%,$20k,$143k
"OAKLAND, CA",Samuel Merritt University,Four,Private Nonprofit,City,Small,97%,,$143k
"BROOKLYN, NY",SUNY Downstate Health Sciences University,Four,Public,City,Small,95%,,$110k
"SIGNAL HILL, CA",American University of Health Sciences,Four,Private For-Profit,Suburban,Small,75%,,$94k
"GALVESTON, TX",The University of Texas Medical Branch at Galveston,Four,Public,City,Small,91%,,$93k
"SYRACUSE, NY",Upstate Medical University,Four,Public,City,Small,88%,,$92k
"HOUSTON, TX",The University of Texas MD Anderson Cancer Center,Four,Public,City,Small,89%,,$90k
"CHARLESTON, SC",Medical University of South Carolina,Four,Public,City,Small,97%,,$88k
"BALTIMORE, MD",University of Maryland Baltimore,Four,Public,City,Small,92%,,$88k
"BOSTON, MA",MGH Institute of Health Professions,Four,Private Nonprofit,City,Small,95%,,$87k
"KANSAS CITY, MO",Research College of Nursing,Four,Private For-Profit,City,Small,49%,,$86k
"BUZZARDS BAY, MA",Massachusetts Maritime Academy,Four,Public,Suburban,Small,82%,$27k,$82k
"ROCHESTER, MN",Mayo Clinic College of Medicine and Science,Certificate,Private Nonprofit,City,Small,94%,,$80k
"CHESAPEAKE, VA",Sentara College of Health Sciences,Four,Private Nonprofit,City,Small,90%,,$78k
"ROCKFORD, IL",Saint Anthony College of Nursing,Four,Private Nonprofit,City,Small,85%,,$78k
"RICHMOND, VA",Bon Secours Memorial College of Nursing,Four,Private Nonprofit,Suburban,Small,80%,,$77k
"OMAHA, NE",University of Nebraska Medical Center,Four,Public,City,Small,93%,,$77k
"GREEN BAY, WI",Bellin College,Four,Private Nonprofit,Suburban,Small,89%,$27k,$76k
"COLUMBUS, OH",Mount Carmel College of Nursing,Four,Private Nonprofit,City,Small,87%,$13k,$75k
"BATON ROUGE, LA",Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,Certificate,Private Nonprofit,City,Small,,,$75k
"ALBANY, NY",Albany College of Pharmacy and Health Sciences,Four,Private Nonprofit,City,Small,68%,$26k,$131k
"WELLESLEY, MA",Babson College,Four,Private Nonprofit,Suburban,Medium,93%,$39k,$124k
"HENDERSON, NV",Roseman University of Health Sciences,Four,Private Nonprofit,City,Small,95%,,$120k
"HOBOKEN, NJ",Stevens Institute of Technology,Four,Private Nonprofit,Suburban,Medium,88%,$40k,$109k
"ATLANTA, GA",Georgia Institute of Technology-Main Campus,Four,Public,City,Large,92%,$13k,$103k
"TERRE HAUTE, IN",Rose-Hulman Institute of Technology,Four,Private Nonprofit,City,Medium,85%,$41k,$101k
"PORTLAND, OR",Oregon Health & Science University,Four,Public,City,Small,94%,,$101k
"NOTRE DAME, IN",University of Notre Dame,Four,Private Nonprofit,Suburban,Medium,96%,$28k,$100k
"LUBBOCK, TX",Texas Tech University Health Sciences Center,Four,Public,City,Small,93%,,$92k
"KINGS POINT, NY",United States Merchant Marine Academy,Four,Public,Suburban,Small,83%,$8k,$91k
"WORCESTER, MA",College of the Holy Cross,Four,Private Nonprofit,City,Medium,93%,$37k,$91k
"LOMA LINDA, CA",Loma Linda University,Four,Private Nonprofit,Suburban,Small,90%,,$90k
"HOUSTON, TX",The University of Texas Health Science Center at Houston,Four,Public,City,Small,90%,,$89k
"DANVILLE, IL",Lakeview College of Nursing,Four,Private Nonprofit,Town,Small,95%,,$85k
"SAINT LOUIS, MO",Barnes-Jewish College Goldfarb School of Nursing,Four,Private Nonprofit,City,Small,91%,,$84k
"DENVER, CO",Denver College of Nursing,Four,Private For-Profit,City,Small,87%,,$82k
"HOUSTON, TX",Denver College of Nursing-Houston,Four,Private For-Profit,City,Small,,,$82k
"PEORIA, IL",Saint Francis Medical Center College of Nursing,Four,Private Nonprofit,City,Small,90%,,$73k
"COLONIAL HEIGHTS, VA",Southside College of Health Sciences,Two,Private Nonprofit,Suburban,Small,76%,,$71k
"WATERLOO, IA",Allen College,Four,Private Nonprofit,City,Small,94%,,$71k
"WORCESTER, MA",Worcester Polytechnic Institute,Four,Private Nonprofit,City,Medium,89%,$43k,$103k
"THROGGS NECK, NY",SUNY Maritime College,Four,Public,City,Small,74%,$22k,$96k
"PHOENIX, AZ",Chamberlain University-Arizona,Four,Private For-Profit,City,Small,66%,$37k,$92k
"RANCHO CORDOVA, CA",Chamberlain University-California,Four,Private For-Profit,City,Small,77%,,$92k
"JACKSONVILLE, FL",Chamberlain University-Florida,Four,Private For-Profit,City,Small,60%,$30k,$92k
"SANDY SPRINGS, GA",Chamberlain University-Georgia,Four,Private For-Profit,City,Small,62%,$31k,$92k
"ADDISON, IL",Chamberlain University-Illinois,Four,Private For-Profit,Suburban,Medium,75%,$27k,$92k
"INDIANAPOLIS, IN",Chamberlain University-Indiana,Four,Private For-Profit,City,Small,39%,$36k,$92k
"JEFFERSON, LA",Chamberlain University-Louisiana,Four,Private For-Profit,Suburban,Small,,$37k,$92k
"TROY, MI",Chamberlain University-Michigan,Four,Private For-Profit,City,Small,75%,$27k,$92k
"ST. LOUIS, MO",Chamberlain University-Missouri,Four,Private For-Profit,Suburban,Small,69%,$35k,$92k
"LAS VEGAS, NV",Chamberlain University-Nevada,Four,Private For-Profit,City,Small,71%,$41k,$92k
"NORTH BRUNSWICK, NJ",Chamberlain University-New Jersey,Four,Private For-Profit,Suburban,Small,63%,$36k,$92k
"CHARLOTTE, NC",Chamberlain University-North Carolina,Four,Private For-Profit,City,Small,53%,$22k,$92k
"COLUMBUS, OH",Chamberlain University-Ohio,Four,Private For-Profit,City,Small,59%,$32k,$92k
